Source,Target,Type,Id,Label,timeset,Weight
251,82,Undirected,0,,,1
251,86,Undirected,1,,,1
251,111,Undirected,2,,,1
86,111,Undirected,3,,,1
237,111,Undirected,4,,,1
237,40,Undirected,5,,,1
150,40,Undirected,6,,,1
150,240,Undirected,7,,,1
150,140,Undirected,8,,,1
240,140,Undirected,9,,,1
240,156,Undirected,10,,,1
150,156,Undirected,11,,,1
140,156,Undirected,12,,,1
55,40,Undirected,13,,,1
55,88,Undirected,14,,,1
153,88,Undirected,15,,,1
188,156,Undirected,16,,,1
188,167,Undirected,17,,,1
188,162,Undirected,18,,,1
167,162,Undirected,19,,,1
167,159,Undirected,20,,,1
158,159,Undirected,21,,,1
156,169,Undirected,22,,,1
132,169,Undirected,23,,,1
132,122,Undirected,24,,,1
159,122,Undirected,28,,,1
159,235,Undirected,27,,,1
159,243,Undirected,29,,,1
233,243,Undirected,30,,,1
233,29,Undirected,31,,,1
23,29,Undirected,32,,,1
23,7,Undirected,33,,,1
36,7,Undirected,34,,,1
36,48,Undirected,35,,,1
23,48,Undirected,36,,,1
88,48,Undirected,37,,,1
222,8,Undirected,39,,,1
7,8,Undirected,40,,,1
30,8,Undirected,41,,,1
30,23,Undirected,42,,,1
30,57,Undirected,43,,,1
23,57,Undirected,44,,,1
25,57,Undirected,45,,,1
25,42,Undirected,46,,,1
186,42,Undirected,47,,,1
219,132,Undirected,48,,,1
219,235,Undirected,49,,,1
219,216,Undirected,50,,,1
227,216,Undirected,51,,,1
227,210,Undirected,52,,,1
226,210,Undirected,53,,,1
212,210,Undirected,54,,,1
212,217,Undirected,55,,,1
199,217,Undirected,56,,,1
226,211,Undirected,57,,,1
186,211,Undirected,58,,,1
186,238,Undirected,59,,,1
176,238,Undirected,60,,,1
176,186,Undirected,61,,,1
199,178,Undirected,62,,,1
197,178,Undirected,63,,,1
197,199,Undirected,64,,,1
211,199,Undirected,65,,,1
211,190,Undirected,66,,,1
199,190,Undirected,67,,,1
176,190,Undirected,68,,,1
193,190,Undirected,69,,,1
176,223,Undirected,70,,,1
218,223,Undirected,71,,,1
218,203,Undirected,72,,,1
159,153,Undirected,73,,,1
